edad,edad_quinquenal,ano,sexo,tipo_beneficio,estado,caja,suma_aportes,suma_salarios,cantidad,sml
67,65 a 69,2020,Hombres,Activos,Activos,IPS,245022253.625,1960178027.0,516,2192839
67,65 a 69,2020,Mujeres,Activos,Activos,IPS,80696607.625,645572861.0,237,2192839
68,65 a 69,2020,Hombres,Activos,Activos,IPS,182984481.125,1463875850.0,438,2192839
68,65 a 69,2020,Mujeres,Activos,Activos,IPS,59360265.0,474882120.0,173,2192839
69,65 a 69,2020,Hombres,Activos,Activos,IPS,134787739.0,1078301911.0,334,2192839
69,65 a 69,2020,Mujeres,Activos,Activos,IPS,60709801.75,485678413.0,138,2192839
70,70 a 74,2020,Hombres,Activos,Activos,IPS,97302999.625,778423998.0,268,2192839
70,70 a 74,2020,Mujeres,Activos,Activos,IPS,36365920.625,290927365.0,118,2192839
71,70 a 74,2020,Hombres,Activos,Activos,IPS,94669429.5,757355436.0,234,2192839
71,70 a 74,2020,Mujeres,Activos,Activos,IPS,33753121.625,270024973.0,82,2192839
72,70 a 74,2020,Hombres,Activos,Activos,IPS,63488315.75,507906527.0,168,2192839
72,70 a 74,2020,Mujeres,Activos,Activos,IPS,21537954.125,172303633.0,76,2192839
73,70 a 74,2020,Hombres,Activos,Activos,IPS,63119391.75,504955135.0,171,2192839
73,70 a 74,2020,Mujeres,Activos,Activos,IPS,20115525.0,160924200.0,66,2192839
74,70 a 74,2020,Hombres,Activos,Activos,IPS,64165515.25,513324123.0,137,2192839
74,70 a 74,2020,Mujeres,Activos,Activos,IPS,19135917.75,153087342.0,62,2192839
75,75 a 79,2020,Hombres,Activos,Activos,IPS,41469726.0,331757807.0,112,2192839
75,75 a 79,2020,Mujeres,Activos,Activos,IPS,20483622.5,163868980.0,67,2192839
76,75 a 79,2020,Hombres,Activos,Activos,IPS,26352097.5,210816780.0,76,2192839
76,75 a 79,2020,Mujeres,Activos,Activos,IPS,11950093.0,95600744.0,45,2192839
77,75 a 79,2020,Hombres,Activos,Activos,IPS,19317248.125,154537985.0,66,2192839
77,75 a 79,2020,Mujeres,Activos,Activos,IPS,12592586.25,100740690.0,46,2192839
78,75 a 79,2020,Hombres,Activos,Activos,IPS,17195796.625,137566373.0,53,2192839
78,75 a 79,2020,Mujeres,Activos,Activos,IPS,9395885.25,75167082.0,35,2192839
79,75 a 79,2020,Hombres,Activos,Activos,IPS,15302893.375,122423146.0,44,2192839
79,75 a 79,2020,Mujeres,Activos,Activos,IPS,6760296.375,54082371.0,26,2192839
80,80 a 84,2020,Hombres,Activos,Activos,IPS,11750912.125,94007297.0,40,2192839
80,80 a 84,2020,Mujeres,Activos,Activos,IPS,6508794.875,52070359.0,26,2192839
81,80 a 84,2020,Hombres,Activos,Activos,IPS,9647786.5,77182292.0,31,2192839
81,80 a 84,2020,Mujeres,Activos,Activos,IPS,4776667.5,38213340.0,18,2192839
82,80 a 84,2020,Hombres,Activos,Activos,IPS,6714867.0,53718936.0,21,2192839
82,80 a 84,2020,Mujeres,Activos,Activos,IPS,3768568.5,30148548.0,15,2192839
