edad,gq,year,sexo,tipobenr,estado,caja,mes,masaaportes,masamontoing,cantidad,sml,montoprom
69,65 a 69,2020,Hombres,Activos,Activos,Bancaria,12,5323851.68,19013756.0,2,2192839.0,9506878.0
69,65 a 69,2020,Mujeres,Activos,Activos,Bancaria,12,3598000.0000000005,12850000.0,1,2192839.0,12850000.0
70,70 a 74,2020,Hombres,Activos,Activos,Bancaria,12,26356555.4,94130555.0,6,2192839.0,15688425.833333334
71,70 a 74,2020,Hombres,Activos,Activos,Bancaria,12,12969915.0,46321125.0,5,2192839.0,9264225.0
71,70 a 74,2020,Mujeres,Activos,Activos,Bancaria,12,11040999.760000002,39432142.0,2,2192839.0,19716071.0
72,70 a 74,2020,Hombres,Activos,Activos,Bancaria,12,5703936.0,20371200.0,2,2192839.0,10185600.0
72,70 a 74,2020,Mujeres,Activos,Activos,Bancaria,12,4662000.0,16650000.0,1,2192839.0,16650000.0
73,70 a 74,2020,Hombres,Activos,Activos,Bancaria,12,7056926.800000001,25203310.0,4,2192839.0,6300827.5
74,70 a 74,2020,Hombres,Activos,Activos,Bancaria,12,15167600.0,54170000.0,4,2192839.0,13542500.0
75,75 a 79,2020,Hombres,Activos,Activos,Bancaria,12,11200000.000000002,40000000.0,2,2192839.0,20000000.0
75,75 a 79,2020,Mujeres,Activos,Activos,Bancaria,12,4925200.000000001,17590000.0,1,2192839.0,17590000.0
76,75 a 79,2020,Hombres,Activos,Activos,Bancaria,12,6524835.520000001,23302984.0,3,2192839.0,7767661.333333333
79,75 a 79,2020,Hombres,Activos,Activos,Bancaria,12,2073934.5200000003,7406909.0,1,2192839.0,7406909.0
81,80 a 84,2020,Hombres,Activos,Activos,Bancaria,12,2800000.0000000005,10000000.0,1,2192839.0,10000000.0
86,85 y más,2020,Hombres,Activos,Activos,Bancaria,12,4793335.960000001,17119057.0,1,2192839.0,17119057.0
88,85 y más,2020,Mujeres,Activos,Activos,Bancaria,12,2996000.0000000005,10700000.0,1,2192839.0,10700000.0
13,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Bancaria,12,0.0,1585492.0,1,2192839.0,1585492.0
14,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Bancaria,12,0.0,7637392.0,1,2192839.0,7637392.0
18,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Bancaria,12,0.0,1294354.4166666667,1,2192839.0,1294354.4166666667
26,25 a 29,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Bancaria,12,0.0,2885286.0,1,2192839.0,2885286.0
39,35 a 39,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Bancaria,12,0.0,4683245.0,1,2192839.0,4683245.0
46,45 a 49,2020,Mujeres,Invalidez,Pasivos,Bancaria,12,0.0,5293436.0,1,2192839.0,5293436.0
